"county_areas","region","date","month","year","quarter","rate_homicide_uns","rate_offences_against_the_person_uns","rate_sexual_offences_uns","rate_burglary_uns","rate_robbery_uns","rate_theft_and_handling_uns","rate_fraud_and_forgery_uns","rate_criminal_damage_uns","rate_drugs_offences_uns","rate_public_order_offences_uns","rate_all_other_offences_uns","rate_motoring_offences_uns","rate_l_motoring_offences_uns"
"Cumbria","North West","2014-05-01","May",2014,"Q2_2014",0,20.2,11.1,0,0,6.5,33.3,8.6,0,3.8,3.8,12.3,100
"Derbyshire","East Midlands","2014-05-01","May",2014,"Q2_2014",0,23.7,23.5,4.3,36.8,12.1,8.3,2.3,8.6,11.8,26,12,100
"Devon and Cornwall","South West","2014-05-01","May",2014,"Q2_2014",0,24,26.7,6.7,0,10.5,18.2,10.9,3.6,15.1,11.5,8.5,100
"Dorset","Oxfordshire","2014-05-01","May",2014,"Q2_2014",0,18.1,38.9,37.5,0,6.6,0,14.3,4.7,5.4,32.1,17,100
"Durham","North East","2014-05-01","May",2014,"Q2_2014",0,20.5,38.5,25.9,0,12.8,14.3,6.8,8.3,10.9,10,15.8,100
"Dyfed Powys","Cymru/Wales","2014-05-01","May",2014,"Q2_2014",0,13.1,33.3,0,0,7.7,0,20.7,1.2,10.9,10,6.8,100
"Essex","East of England","2014-05-01","May",2014,"Q2_2014",0,21.5,30.4,11.1,8.3,4.9,15,9,1.1,15.5,6.9,10.1,100
"Gloucestershire","South West","2014-05-01","May",2014,"Q2_2014",0,18,0,7.1,0,5,0,7.7,0,11.1,36.4,12.8,100
"GreaterManchester","North West","2014-05-01","May",2014,"Q2_2014",0,23.4,32.8,16,11.1,5.9,4.3,10,6.6,9.9,14.9,15.3,100
"Gwent","Cymru/Wales","2014-05-01","May",2014,"Q2_2014",0,28.7,28.6,12.5,0,9.4,0,6.7,6.8,15.3,27.5,8.9,100
"Hampshire","Oxfordshire","2014-05-01","May",2014,"Q2_2014",0,25.5,36.7,10.7,33.3,9.8,9.1,18.4,7,14.3,20.2,20.7,100
"Hertfordshire","Thames and Chiltern","2014-05-01","May",2014,"Q2_2014",0,24.4,23.1,12.5,38.5,11.6,5.6,6.5,10.2,23.5,32.3,16.7,100
"Humberside","Yorkshire and Humberside","2014-05-01","May",2014,"Q2_2014",0,16.1,35.7,9.4,44.4,7.3,23.1,10.4,1.4,2.7,14.3,9.1,100
"Kent","South East","2014-05-01","May",2014,"Q2_2014",6.7,19.5,20,8.8,0,9.7,16.7,15,11.1,8.2,14.6,11.4,100
"Lancashire","North West","2014-05-01","May",2014,"Q2_2014",0,23.1,24.2,12.5,27.3,8.8,0,15,5.7,7.2,6.2,16.4,100
"Leicestershire","East Midlands","2014-05-01","May",2014,"Q2_2014",0,18.5,22.2,6.7,50,5.5,20,16.7,9.8,10.3,33.3,12.8,100
"Lincolnshire","East Midlands","2014-05-01","May",2014,"Q2_2014",0,23.1,36.4,0,0,7,0,8.3,10.5,21.7,8,20.9,100
"Merseyside","Mersey-Cheshire","2014-05-01","May",2014,"Q2_2014",0,22,19.2,10,30.3,8.7,12.5,8.5,1.9,18.4,12.8,12.2,100
"Metropolitan and City","Greater London","2014-05-01","May",2014,"Q2_2014",27.5,30.7,32.8,24,16.4,10.3,12.2,15.7,4.9,19.2,16.3,20.7,100
"Norfolk","East of England","2014-05-01","May",2014,"Q2_2014",0,22.2,11.8,14.3,0,8.3,25,7.3,2.9,13.4,11.5,13.3,100
"Northamptonshire","East Midlands","2014-05-01","May",2014,"Q2_2014",0,31.3,36.4,11.1,0,16.7,27.3,32.1,13.6,6.8,27.8,8.3,100
"Northumbria","North East","2014-05-01","May",2014,"Q2_2014",0,33.2,50,6.8,15.4,14.4,18.2,25.9,17,22.7,19.9,20.1,100
"North Wales","Cymru/Wales","2014-05-01","May",2014,"Q2_2014",0,12.3,28.6,21.7,0,5.4,12.5,2.8,4.9,14,2.4,5.1,100
"North Yorkshire","Yorkshire and Humberside","2014-05-01","May",2014,"Q2_2014",0,9.8,20,9.1,25,6.4,0,10.6,13,12.1,25,6.8,100
"Nottinghamshire","East Midlands","2014-05-01","May",2014,"Q2_2014",45.5,25.2,52.9,13,25,7.1,20,15.8,5.3,25.8,13.2,10.1,100
"South Wales","Cymru/Wales","2014-05-01","May",2014,"Q2_2014",0,24.5,24.1,12.3,38.1,4,5.3,12.9,3.6,7.8,13.2,10.5,100
"South Yorkshire","Yorkshire and Humberside","2014-05-01","May",2014,"Q2_2014",0,20.7,40,10.8,40,7.1,27.3,4.9,2.1,6.7,11.4,8.7,100
"Staffordshire","West Midlands","2014-05-01","May",2014,"Q2_2014",0,28.6,30.8,11.1,53.8,10.8,30.8,17.9,5.8,21.4,14,20.7,100
"Suffolk","East of England","2014-05-01","May",2014,"Q2_2014",0,20.3,9.1,0,40,4.3,33.3,0,4.5,2.9,21.1,12.2,100
"Surrey","South East","2014-05-01","May",2014,"Q2_2014",0,27,47.4,17.6,0,12.1,10.5,16.2,5.3,10.6,22.5,14.7,100
"Sussex","South East","2014-05-01","May",2014,"Q2_2014",0,29.9,33.3,24.2,30,12.4,0,19.3,10.8,21,20.2,12.6,100
"Thames Valley","Thames and Chiltern","2014-05-01","May",2014,"Q2_2014",0,31.9,23.5,22.6,16.7,13,24.1,19.2,16.4,18.4,20.7,13.4,100
"Warwickshire","West Midlands","2014-05-01","May",2014,"Q2_2014",0,16.7,40,18.2,50,3.3,100,4.2,5.9,26.9,26.1,7.5,100
"West Mercia","West Midlands","2014-05-01","May",2014,"Q2_2014",0,18.1,13.6,19.6,66.7,5.4,44.4,14,9,13.1,16.1,14.2,100
"West Midlands","West Midlands","2014-05-01","May",2014,"Q2_2014",0,28.7,34.1,12.6,36.2,8.9,25,18.3,9.4,20.1,24.1,12.8,100
"West Yorkshire","Yorkshire and Humberside","2014-05-01","May",2014,"Q2_2014",0,19.7,23.5,12.1,37,8.8,5,25.2,7.4,17.2,6.2,13.1,100
"Wiltshire","Oxfordshire","2014-05-01","May",2014,"Q2_2014",0,17.6,37.5,25,54.5,12.3,18.2,18.2,5.1,16.7,29.6,4.9,100
"Avon and Somerset","South West","2014-06-01","Jun",2014,"Q2_2014",57.1,23.3,30.6,17.1,33.3,6.2,10.5,17.3,6.7,12.7,11.3,17.8,100
"Bedfordshire","Thames and Chiltern","2014-06-01","Jun",2014,"Q2_2014",0,27.8,83.3,0,16.7,8.5,12.5,21.1,6.4,9.7,10,12.2,100
"Cambridgeshire","East of England","2014-06-01","Jun",2014,"Q2_2014",0,19.6,16.7,8.3,0,3.6,5.3,9.5,0,3.5,18.8,8,100
"Cheshire","Mersey-Cheshire","2014-06-01","Jun",2014,"Q2_2014",0,21.5,6.3,16.7,14.3,3.9,10,11.1,9.9,5.3,6.6,7.6,100
"Cleveland","North East","2014-06-01","Jun",2014,"Q2_2014",0,25,17.4,11.4,33.3,10.3,0,10.9,1.7,26.1,32.3,5.4,100
"Cumbria","North West","2014-06-01","Jun",2014,"Q2_2014",0,11.8,0,0,25,7.4,0,9.5,4.2,8.6,5.7,7.6,100
"Derbyshire","East Midlands","2014-06-01","Jun",2014,"Q2_2014",0,28.7,15.4,18.8,11.1,9.5,0,13,12.2,16.3,24.5,10.4,100
"Devon and Cornwall","South West","2014-06-01","Jun",2014,"Q2_2014",0,29.7,7.7,21.2,33.3,9.4,15.8,22.4,3.3,12.9,20.6,14,100
"Dorset","Oxfordshire","2014-06-01","Jun",2014,"Q2_2014",0,13.3,21.4,6.7,0,3.8,0,11.8,4,10.5,8,8.3,100
"Durham","North East","2014-06-01","Jun",2014,"Q2_2014",0,22.2,17.6,15,0,8.4,50,12.5,6.5,11.4,18.5,8,100
"Dyfed Powys","Cymru/Wales","2014-06-01","Jun",2014,"Q2_2014",0,19.5,0,0,50,7,100,22.2,4.5,22.7,23.1,7.8,100
"Essex","East of England","2014-06-01","Jun",2014,"Q2_2014",0,20.2,31.7,6.1,20,6.2,5.6,14.8,5.2,12.1,17.5,11.9,100
"Gloucestershire","South West","2014-06-01","Jun",2014,"Q2_2014",0,23.5,0,25,0,9.6,0,11.8,5.3,22.2,22.7,3.3,100
"GreaterManchester","North West","2014-06-01","Jun",2014,"Q2_2014",0,22.8,40.2,8.4,5.4,6.6,13.7,11.8,8.5,12.2,25.6,14.6,100
"Gwent","Cymru/Wales","2014-06-01","Jun",2014,"Q2_2014",25,23.5,28.6,32,100,5.1,33.3,20.6,1.9,9.8,32,8.3,100
"Hampshire","Oxfordshire","2014-06-01","Jun",2014,"Q2_2014",0,26.2,42.5,11.1,14.3,7.5,15.8,21.3,12.8,11.3,17.1,16.3,100
"Hertfordshire","Thames and Chiltern","2014-06-01","Jun",2014,"Q2_2014",0,20.5,33.3,25,23.1,10.8,30.4,10.8,4.9,19.7,11.8,18.8,100
"Humberside","Yorkshire and Humberside","2014-06-01","Jun",2014,"Q2_2014",0,9.1,33.3,3.1,14.3,5.9,0,8.8,1.9,2.2,15.2,6.1,100
"Kent","South East","2014-06-01","Jun",2014,"Q2_2014",100,30.1,23.3,11.3,16.7,13.5,5,19.7,4.3,9.5,31.4,10,100
"Lancashire","North West","2014-06-01","Jun",2014,"Q2_2014",0,27.9,35,13.3,6.7,6.4,10.5,16.2,5.9,9.9,10.4,16.9,100
"Leicestershire","East Midlands","2014-06-01","Jun",2014,"Q2_2014",0,16.9,25,15.6,45.5,15.9,0,5.7,13.9,14.9,11.8,10.7,100
"Lincolnshire","East Midlands","2014-06-01","Jun",2014,"Q2_2014",0,19.2,28.6,0,0,13.9,0,18.8,0,23.2,14.3,16.2,100
"Merseyside","Mersey-Cheshire","2014-06-01","Jun",2014,"Q2_2014",50,23.2,17.9,5.1,4.8,6.9,29.2,14.3,4.4,11.6,10.8,12.3,100
"Metropolitan and City","Greater London","2014-06-01","Jun",2014,"Q2_2014",31.6,32.2,31.7,22.6,24.3,11.3,12.4,17,5.8,16.1,18.4,22,100
"Norfolk","East of England","2014-06-01","Jun",2014,"Q2_2014",0,18,25,13.6,0,8.4,25,9.7,6.6,8.2,29.2,8.2,100
"Northamptonshire","East Midlands","2014-06-01","Jun",2014,"Q2_2014",0,22.1,9.1,21.4,0,16.3,0,35.7,19.2,29.8,9.5,11.1,100
"Northumbria","North East","2014-06-01","Jun",2014,"Q2_2014",0,31.3,24.1,13.2,53.8,14.1,25.9,15.7,9.6,34,16.9,15.9,100
"North Wales","Cymru/Wales","2014-06-01","Jun",2014,"Q2_2014",0,19.6,57.1,26.1,33.3,3.5,14.3,5.9,2.2,17.1,9.8,7.8,100
"North Yorkshire","Yorkshire and Humberside","2014-06-01","Jun",2014,"Q2_2014",0,12.8,33.3,17.6,0,7.7,15,4.3,2.3,9.7,16.1,6.1,100
"Nottinghamshire","East Midlands","2014-06-01","Jun",2014,"Q2_2014",0,24.9,35,11.8,25,6.8,0,19.3,8.9,12.2,16.9,11.8,100
"South Wales","Cymru/Wales","2014-06-01","Jun",2014,"Q2_2014",0,27.8,40,11.9,11.8,4.5,40,3.7,8.3,14.2,11.5,7.2,100
"South Yorkshire","Yorkshire and Humberside","2014-06-01","Jun",2014,"Q2_2014",100,29.6,31.3,10.2,0,5.4,15.8,16.7,2.1,15.8,14.8,19,100
"Staffordshire","West Midlands","2014-06-01","Jun",2014,"Q2_2014",0,28.1,37.5,29.3,0,13.5,28.6,26.1,6.8,25.5,14.6,12.1,100
"Suffolk","East of England","2014-06-01","Jun",2014,"Q2_2014",0,13.7,14.3,28.6,33.3,3.6,0,0,1.9,5.1,0,11.3,100
"Surrey","South East","2014-06-01","Jun",2014,"Q2_2014",0,36.2,42.9,23.5,0,13,20,25.6,11.6,32.2,10.1,14.6,100
"Sussex","South East","2014-06-01","Jun",2014,"Q2_2014",0,25.6,27.5,13.6,25,10.3,6.9,18,5.8,25,19.7,7.9,100
"Thames Valley","Thames and Chiltern","2014-06-01","Jun",2014,"Q2_2014",36.4,27.4,25.5,15.9,7.7,8.9,16.7,19.2,8.2,17.4,28.9,13.7,100
"Warwickshire","West Midlands","2014-06-01","Jun",2014,"Q2_2014",0,15.5,66.7,20,33.3,5.5,60,25,6.7,8.3,3.8,30.3,100
"West Mercia","West Midlands","2014-06-01","Jun",2014,"Q2_2014",0,22.3,11.8,6.5,0,9.7,5.9,7.1,1.8,8.6,11.6,9.1,100
"West Midlands","West Midlands","2014-06-01","Jun",2014,"Q2_2014",0,35.1,21.3,34.5,22.2,6,5.1,16.5,8.3,16.8,11.7,14.7,100
"West Yorkshire","Yorkshire and Humberside","2014-06-01","Jun",2014,"Q2_2014",0,23.9,13.2,9.6,32.1,8,13.6,14.9,7.4,14.5,22.2,12.7,100
"Wiltshire","Oxfordshire","2014-06-01","Jun",2014,"Q2_2014",0,30.3,16.7,25,40,9.9,0,15.6,2.9,27.8,21.9,20.5,100
"Avon and Somerset","South West","2014-07-01","Jul",2014,"Q3_2014",0,16.2,28,1.8,33.3,7.5,10.7,11.4,1.6,15.8,11.4,20.4,100
"Bedfordshire","Thames and Chiltern","2014-07-01","Jul",2014,"Q3_2014",25,26.9,54.5,7.4,21.4,8.2,0,15,3.4,14.7,13.3,8.5,100
"Cambridgeshire","East of England","2014-07-01","Jul",2014,"Q3_2014",0,20.1,42.9,28.6,50,8.3,16.7,12,0,6.7,12.5,7.4,100
"Cheshire","Mersey-Cheshire","2014-07-01","Jul",2014,"Q3_2014",0,21.7,19,4.8,0,3.2,8.3,18,4.3,6.9,5.9,10.1,100
"Cleveland","North East","2014-07-01","Jul",2014,"Q3_2014",0,27.8,50,10.2,20,10.9,0,14.6,9.4,25.3,20.8,12.5,100
"Cumbria","North West","2014-07-01","Jul",2014,"Q3_2014",0,12.2,9.1,36.4,0,1,0,5.3,0,3.3,12,11.2,100
"Derbyshire","East Midlands","2014-07-01","Jul",2014,"Q3_2014",0,24.3,12.5,6.3,10,10.6,17.4,19,8.8,15.9,17.5,12.2,100
"Devon and Cornwall","South West","2014-07-01","Jul",2014,"Q3_2014",0,25.2,10,19.4,0,3.8,23.5,15,4.2,13.2,21.3,8.8,100
"Dorset","Oxfordshire","2014-07-01","Jul",2014,"Q3_2014",0,25,30,16.7,14.3,5.1,0,15.8,5,14.9,20.7,8,100
"Durham","North East","2014-07-01","Jul",2014,"Q3_2014",0,17.2,18.8,19.2,16.7,9.2,25,28,5.6,14.1,15.8,8.4,100
"Dyfed Powys","Cymru/Wales","2014-07-01","Jul",2014,"Q3_2014",0,23.4,10,20,0,6.6,0,17.6,2.3,15.6,8.3,9.5,100
"Essex","East of England","2014-07-01","Jul",2014,"Q3_2014",0,17.5,36.8,13.2,30.8,4.8,7.1,14.3,4.4,11.6,16.4,8.6,100
"Gloucestershire","South West","2014-07-01","Jul",2014,"Q3_2014",0,19.8,0,11.8,0,9,0,18.2,6.4,10.5,11.1,11,100
"GreaterManchester","North West","2014-07-01","Jul",2014,"Q3_2014",0,21.2,25.6,15.8,13.3,6.4,0,8.7,6,10.2,15.5,10.4,100
"Gwent","Cymru/Wales","2014-07-01","Jul",2014,"Q3_2014",0,17.1,28.6,10.3,28.6,5.6,14.3,13.8,7.3,17.9,13.6,17.3,100
"Hampshire","Oxfordshire","2014-07-01","Jul",2014,"Q3_2014",33.3,26.6,22.2,23.9,27.6,10.4,33.3,16.8,3.5,19.4,18,12.6,100
"Hertfordshire","Thames and Chiltern","2014-07-01","Jul",2014,"Q3_2014",50,19.2,42.9,21.4,28.6,10.1,33.3,22,5.1,19.4,17.4,15.2,100
"Humberside","Yorkshire and Humberside","2014-07-01","Jul",2014,"Q3_2014",0,12.3,25.6,5.4,9.1,9.4,15.4,12.9,4.8,4.8,10.7,13.1,100
"Kent","South East","2014-07-01","Jul",2014,"Q3_2014",33.3,24.5,22.2,13.6,14.3,11.3,14.8,12.5,3.6,18.6,22.6,12,100
"Lancashire","North West","2014-07-01","Jul",2014,"Q3_2014",0,25.2,37.7,21.9,0,3.5,5.9,19.1,4.4,7.8,12.1,18.1,100
"Leicestershire","East Midlands","2014-07-01","Jul",2014,"Q3_2014",0,16.8,8.3,25,0,8.6,19,10,0,14.3,18.8,12.9,100
"Lincolnshire","East Midlands","2014-07-01","Jul",2014,"Q3_2014",0,28.6,21.4,9.5,37.5,8.8,9.1,20,3.9,12.3,33.3,16.8,100
"Merseyside","Mersey-Cheshire","2014-07-01","Jul",2014,"Q3_2014",0,23.9,12.9,15.4,15,6.3,11.8,20.3,5.4,15.2,9,14,100
"Metropolitan and City","Greater London","2014-07-01","Jul",2014,"Q3_2014",47.4,31.3,36.5,16.6,22.6,9.9,17.6,13.6,6.3,14.7,17.6,21.6,100
"Norfolk","East of England","2014-07-01","Jul",2014,"Q3_2014",50,24,23.1,26.3,11.1,12.1,12.5,17.4,0,9.6,25,12,100
"Northamptonshire","East Midlands","2014-07-01","Jul",2014,"Q3_2014",0,30.8,27.3,34.8,20,15.2,35.7,33.3,7.5,20.4,11.8,7.1,100
"Northumbria","North East","2014-07-01","Jul",2014,"Q3_2014",0,30.4,17.1,12.5,22.7,11.1,17.1,24.8,13.2,25.4,14,14.5,100
"North Wales","Cymru/Wales","2014-07-01","Jul",2014,"Q3_2014",0,28.9,45.5,21.7,44.4,3.5,12.5,4.7,3.2,6.6,11.6,10.7,100
"North Yorkshire","Yorkshire and Humberside","2014-07-01","Jul",2014,"Q3_2014",0,17.2,0,4.2,40,13.4,0,17.1,9.4,8.6,10.5,12.9,100
"Nottinghamshire","East Midlands","2014-07-01","Jul",2014,"Q3_2014",12.5,26.9,28.1,16.7,13.3,10.2,15.4,28.4,9.1,12.5,21.1,11.5,100
"South Wales","Cymru/Wales","2014-07-01","Jul",2014,"Q3_2014",0,28.9,46.7,6.1,53.3,4.8,11.1,13.6,3.8,9.2,18.8,4.7,100
"South Yorkshire","Yorkshire and Humberside","2014-07-01","Jul",2014,"Q3_2014",0,25.7,17.6,24.6,21.7,7.5,4.5,17.1,2.3,15.8,11.3,6.3,100
"Staffordshire","West Midlands","2014-07-01","Jul",2014,"Q3_2014",0,29.3,20,17.1,50,8.4,10,28.6,4.3,14.9,16.7,21.3,100
"Suffolk","East of England","2014-07-01","Jul",2014,"Q3_2014",0,13.7,11.1,5.9,16.7,5.7,0,5.4,3.6,7.4,33.3,10.6,100
"Surrey","South East","2014-07-01","Jul",2014,"Q3_2014",0,35.8,25,0,12.5,12.8,5.6,23.7,10,13.8,30.6,21.6,100
"Sussex","South East","2014-07-01","Jul",2014,"Q3_2014",0,24.9,39.5,14,16.7,6,0,26.7,5,19.4,19.3,13.8,100
"Thames Valley","Thames and Chiltern","2014-07-01","Jul",2014,"Q3_2014",0,35.1,36.1,18.5,42.1,7.3,16.7,8,6.5,14.4,17.5,13.2,100
"Warwickshire","West Midlands","2014-07-01","Jul",2014,"Q3_2014",0,20.3,30.8,15.8,0,4.2,0,0,3.4,31,25,18.3,100
"West Mercia","West Midlands","2014-07-01","Jul",2014,"Q3_2014",0,24,15.6,14.3,20,8,10,7.1,7.7,13.1,2.9,14.1,100
"West Midlands","West Midlands","2014-07-01","Jul",2014,"Q3_2014",66.7,29.8,34.4,20.5,31,11.2,21.2,15.8,9.3,20.3,17.6,21.1,100
"West Yorkshire","Yorkshire and Humberside","2014-07-01","Jul",2014,"Q3_2014",40,23.6,33.8,7.7,4.8,10,25,14.6,9,10.1,20.8,14.3,100
"Wiltshire","Oxfordshire","2014-07-01","Jul",2014,"Q3_2014",0,23.1,22.2,0,9.1,11.4,0,14,3.8,13.3,18.9,10.8,100
"Avon and Somerset","South West","2014-08-01","Aug",2014,"Q3_2014",33.3,24,17.5,7.5,10,7.5,7.1,10.6,5.9,12.2,9.4,19.4,100
"Bedfordshire","Thames and Chiltern","2014-08-01","Aug",2014,"Q3_2014",50,31,33.3,41.7,7.1,9.1,16.7,9.5,0,17,33.3,21.9,100
"Cambridgeshire","East of England","2014-08-01","Aug",2014,"Q3_2014",0,17.9,36.4,18.8,0,11.7,0,9.4,0,9.4,8.3,6.3,100
"Cheshire","Mersey-Cheshire","2014-08-01","Aug",2014,"Q3_2014",0,22.1,15.8,26.3,33.3,5.6,11.1,15.4,8,12.5,0,8.9,100
"Cleveland","North East","2014-08-01","Aug",2014,"Q3_2014",0,29.8,23.1,17.4,22.2,9.7,0,5.9,6.3,18.4,4.5,17.1,100
"Cumbria","North West","2014-08-01","Aug",2014,"Q3_2014",0,15.2,16.7,10,0,4.2,0,8.5,2.1,4.5,13.5,8.9,100
"Derbyshire","East Midlands","2014-08-01","Aug",2014,"Q3_2014",0,25.1,34.8,4.2,50,4.5,50,17.8,7.1,20,13.2,4.5,100
"Devon and Cornwall","South West","2014-08-01","Aug",2014,"Q3_2014",0,23.1,14.3,10,0,13.6,0,22.4,6.1,20,18.8,6.8,100
"Dorset","Oxfordshire","2014-08-01","Aug",2014,"Q3_2014",0,23.4,40,12.5,25,11.3,0,7.4,0,11.4,24.2,14.9,100
"Durham","North East","2014-08-01","Aug",2014,"Q3_2014",0,18.9,37.5,22.6,33.3,9.9,12.5,19.6,0,15.1,10.5,4.3,100
"Dyfed Powys","Cymru/Wales","2014-08-01","Aug",2014,"Q3_2014",0,22.4,50,0,33.3,2.7,0,19.4,1.4,11.9,8.3,10.7,100
"Essex","East of England","2014-08-01","Aug",2014,"Q3_2014",0,18.7,26.3,2.4,0,6.7,14.7,16.7,5.9,7.7,14.8,8.8,100
"Gloucestershire","South West","2014-08-01","Aug",2014,"Q3_2014",0,15.5,0,0,0,10.8,16.7,23.8,5.4,22.2,10.5,12,100
"GreaterManchester","North West","2014-08-01","Aug",2014,"Q3_2014",0,20.1,48,1.8,13.2,6.9,13.5,13.1,6.8,9.4,15.9,17.4,100
"Gwent","Cymru/Wales","2014-08-01","Aug",2014,"Q3_2014",0,15.9,27.3,0,0,5.8,0,2.4,0,8.6,16.7,14.6,100
"Hampshire","Oxfordshire","2014-08-01","Aug",2014,"Q3_2014",0,27.6,29.7,14.8,25,6.6,25.9,20.6,3.8,9.4,16.9,13.9,100
"Hertfordshire","Thames and Chiltern","2014-08-01","Aug",2014,"Q3_2014",0,17.9,21.4,9.3,50,12.2,25,18.8,5.3,19.5,16.1,11.2,100
"Humberside","Yorkshire and Humberside","2014-08-01","Aug",2014,"Q3_2014",0,21.9,41.9,9.5,20,11,7.7,22.2,6.6,10.6,15.8,11.9,100
"Kent","South East","2014-08-01","Aug",2014,"Q3_2014",0,22.3,30.8,17.1,20,11.8,33.3,15.4,6.7,27.9,18.9,13.1,100
"Lancashire","North West","2014-08-01","Aug",2014,"Q3_2014",0,28.7,32.5,12.2,12.5,9.1,18.2,19.1,4.4,12.9,5.3,15.1,100
"Leicestershire","East Midlands","2014-08-01","Aug",2014,"Q3_2014",0,22.6,22.2,0,9.1,9.4,10,5.6,10.8,15,4,10.7,100
"Lincolnshire","East Midlands","2014-08-01","Aug",2014,"Q3_2014",0,17.2,22.2,42.9,0,10,0,25,6.5,11.1,33.3,18.8,100
"Merseyside","Mersey-Cheshire","2014-08-01","Aug",2014,"Q3_2014",0,25.5,12.9,7.9,20,10.1,15.4,20.8,5.3,10.5,6.9,15.5,100
"Metropolitan and City","Greater London","2014-08-01","Aug",2014,"Q3_2014",38.5,29.6,31.8,16,26.9,12.5,12.2,11.9,7.2,17.7,20.7,21.9,100
"Norfolk","East of England","2014-08-01","Aug",2014,"Q3_2014",0,19.9,20,23.5,30,4.7,14.3,9.6,0,8.5,27.3,16.2,100
"Northamptonshire","East Midlands","2014-08-01","Aug",2014,"Q3_2014",0,29.4,0,27.6,42.9,9.8,41.7,33.3,7.7,13.3,23.5,8.5,100
"Northumbria","North East","2014-08-01","Aug",2014,"Q3_2014",0,25.6,21.4,15.9,0,12,3.6,19.3,11.7,20.4,20.9,19.1,100
"North Wales","Cymru/Wales","2014-08-01","Aug",2014,"Q3_2014",0,25.2,40,0,0,4,42.9,6.3,2.6,8.6,5.3,19.1,100
"North Yorkshire","Yorkshire and Humberside","2014-08-01","Aug",2014,"Q3_2014",100,23.1,33.3,6.5,12.5,11.9,27.3,18.9,10.8,8,30.4,7.5,100
"Nottinghamshire","East Midlands","2014-08-01","Aug",2014,"Q3_2014",0,25.1,18.2,9.6,15.8,8.9,18.2,15.7,4.9,14.8,9.3,7.9,100
"South Wales","Cymru/Wales","2014-08-01","Aug",2014,"Q3_2014",0,27.8,33.3,20,61.5,6.1,4.8,14.8,7.8,14.4,7.2,13.4,100
"South Yorkshire","Yorkshire and Humberside","2014-08-01","Aug",2014,"Q3_2014",0,20.4,11.8,17.8,60,5,40,12.9,7.8,9.7,12.5,8.3,100
"Staffordshire","West Midlands","2014-08-01","Aug",2014,"Q3_2014",0,29.4,10.7,16.7,0,4.6,40,17.9,6.8,16.7,8.2,17.2,100
"Suffolk","East of England","2014-08-01","Aug",2014,"Q3_2014",0,16.3,16.7,17.4,42.9,4.4,0,2.7,9.8,3.3,16.7,8.1,100
"Surrey","South East","2014-08-01","Aug",2014,"Q3_2014",100,35.5,45,15,100,11.3,26.7,12.5,9.5,40,27.6,14.9,100
"Sussex","South East","2014-08-01","Aug",2014,"Q3_2014",0,22.5,44,18.2,27.3,11.5,4.8,20,9.7,21.2,23.1,11.5,100
"Thames Valley","Thames and Chiltern","2014-08-01","Aug",2014,"Q3_2014",0,32.4,23.1,14.8,13.8,12.6,20,17.6,5.2,9.5,11.9,16.9,100
"Warwickshire","West Midlands","2014-08-01","Aug",2014,"Q3_2014",0,18.2,18.2,16.7,0,8.8,0,22.2,9.5,16.7,26.7,14.7,100
"West Mercia","West Midlands","2014-08-01","Aug",2014,"Q3_2014",0,20.6,23.5,17.2,28.6,7.5,36.4,16.4,0,14.3,16.7,18.5,100
"West Midlands","West Midlands","2014-08-01","Aug",2014,"Q3_2014",50,32.5,38,15.8,32.1,10.1,27.5,18.4,9.4,14.8,14.4,16.4,100
"West Yorkshire","Yorkshire and Humberside","2014-08-01","Aug",2014,"Q3_2014",50,29,18.6,20,6.9,14.4,25.6,21.4,10.2,20.5,16.9,19.2,100
"Wiltshire","Oxfordshire","2014-08-01","Aug",2014,"Q3_2014",0,12,30,23.5,0,7.4,0,26.1,0,3.6,11.1,11.4,100
"Avon and Somerset","South West","2014-09-01","Sep",2014,"Q3_2014",0,24.8,29.1,10.2,7.7,6,5.3,11.5,4.2,8.2,14.8,19.4,100
"Bedfordshire","Thames and Chiltern","2014-09-01","Sep",2014,"Q3_2014",0,24.2,33.3,10,0,8.4,0,20,5.8,13.8,33.3,7.6,100
"Cambridgeshire","East of England","2014-09-01","Sep",2014,"Q3_2014",0,14.1,20,7.4,25,6.8,11.1,6.5,3.3,14,33.3,6,100
"Cheshire","Mersey-Cheshire","2014-09-01","Sep",2014,"Q3_2014",0,17.6,13.3,7.7,25,7.1,16.7,8.2,5,9.2,14.7,7.9,100
"Cleveland","North East","2014-09-01","Sep",2014,"Q3_2014",0,25.5,20,10.5,14.3,8.4,0,16.7,9.6,18.1,16.1,15.7,100
"Cumbria","North West","2014-09-01","Sep",2014,"Q3_2014",0,20,0,23.1,0,4.1,25,0,2.8,9.2,16.1,8.4,100
"Derbyshire","East Midlands","2014-09-01","Sep",2014,"Q3_2014",0,25.1,6.3,22.7,12,8.1,28.6,21.2,5.6,9.7,22.2,6.7,100
"Devon and Cornwall","South West","2014-09-01","Sep",2014,"Q3_2014",0,27.8,12.5,10.5,16.7,6.2,7.1,8.5,10.5,21.6,13.6,5.5,100
"Dorset","Oxfordshire","2014-09-01","Sep",2014,"Q3_2014",0,22.5,30,5.3,0,14,16.7,2.6,2.6,15.6,18.4,9.5,100
"Durham","North East","2014-09-01","Sep",2014,"Q3_2014",0,28.4,13.3,17.4,40,10.8,7.7,14.9,3.2,16,20,8,100
