"county_areas","region","date","month","year","quarter","rate_homicide_con","rate_homicide_uns","rate_offences_against_the_person_con","rate_offences_against_the_person_uns","rate_sexual_offences_con","rate_sexual_offences_uns","rate_burglary_con","rate_burglary_uns","rate_robbery_con","rate_robbery_uns","rate_theft_and_handling_con","rate_theft_and_handling_uns","rate_fraud_and_forgery_con","rate_fraud_and_forgery_uns","rate_criminal_damage_con","rate_criminal_damage_uns","rate_drugs_offences_con","rate_drugs_offences_uns","rate_public_order_offences_con","rate_public_order_offences_uns","rate_all_other_offences_con","rate_all_other_offences_uns","rate_motoring_offences_con","rate_motoring_offences_uns","rate_l_motoring_offences_uns"
"Nottinghamshire","East Midlands",2014-03-01,"Mar","2014","Q1_2014",100,0,77.6,22.4,80,20,72.7,27.3,90.9,9.1,90.6,9.4,93.3,6.7,85.2,14.8,94.2,5.8,84.6,15.4,74.4,25.6,87.1,12.9,100
"South Wales","Cymru/Wales",2014-03-01,"Mar","2014","Q1_2014",100,0,67.2,32.8,65,35,95,5,83.3,16.7,94.4,5.6,94.4,5.6,89.3,10.7,97.4,2.6,90.4,9.6,91.7,8.3,85.2,14.8,100
"South Yorkshire","Yorkshire and Humberside",2014-03-01,"Mar","2014","Q1_2014",0,0,78.7,21.3,85,15,93.9,6.1,83.3,16.7,95.2,4.8,92.3,7.7,84.5,15.5,97,3,92.4,7.6,88.6,11.4,88.5,11.5,100
"Staffordshire","West Midlands",2014-03-01,"Mar","2014","Q1_2014",0,100,73.3,26.7,88.2,11.8,89.7,10.3,100,0,89.5,10.5,100,0,82.8,17.2,94.3,5.7,82.8,17.2,90.2,9.8,90.4,9.6,0
"Suffolk","East of England",2014-03-01,"Mar","2014","Q1_2014",0,0,77.7,22.3,25,75,88.2,11.8,0,0,100,0,91.7,8.3,87.5,12.5,98.3,1.7,95.7,4.3,87.8,12.2,89.7,10.3,100
"Surrey","South East",2014-03-01,"Mar","2014","Q1_2014",0,0,63,37,66.7,33.3,73.1,26.9,100,0,83.9,16.1,87,13,81.4,18.6,95.1,4.9,73.4,26.6,72.7,27.3,90.1,9.9,100
"Sussex","South East",2014-03-01,"Mar","2014","Q1_2014",0,100,68,32,78.1,21.9,100,0,50,50,90.1,9.9,86.7,13.3,86,14,93.4,6.6,79.2,20.8,84.4,15.6,94,6,100
"Thames Valley","Thames and Chiltern",2014-03-01,"Mar","2014","Q1_2014",33.3,66.7,65.4,34.6,78,22,85.7,14.3,83.3,16.7,91.6,8.4,81.3,18.8,90.6,9.4,93.6,6.4,73.9,26.1,72.3,27.7,94.1,5.9,100
"Warwickshire","West Midlands",2014-03-01,"Mar","2014","Q1_2014",0,0,86.5,13.5,42.9,57.1,81.8,18.2,100,0,91,9,100,0,86.7,13.3,100,0,97.1,2.9,82.8,17.2,88.6,11.4,100
"West Mercia","West Midlands",2014-03-01,"Mar","2014","Q1_2014",0,0,79.9,20.1,73.9,26.1,85.7,14.3,100,0,94.3,5.7,90.9,9.1,89.1,10.9,98.4,1.6,94.4,5.6,82.9,17.1,92.6,7.4,100
"West Midlands","West Midlands",2014-03-01,"Mar","2014","Q1_2014",100,0,67.9,32.1,75,25,82.5,17.5,65.7,34.3,92.2,7.8,93.3,6.7,85.9,14.1,92.4,7.6,84.3,15.7,88.6,11.4,89,11,100
"West Yorkshire","Yorkshire and Humberside",2014-03-01,"Mar","2014","Q1_2014",100,0,75.6,24.4,75,25,87.4,12.6,87.8,12.2,93.5,6.5,84.2,15.8,84.1,15.9,92.4,7.6,85.2,14.8,90.2,9.8,85.3,14.7,100
"Wiltshire","Oxfordshire",2014-03-01,"Mar","2014","Q1_2014",100,0,83,17,62.5,37.5,87.5,12.5,87.5,12.5,92.9,7.1,50,50,84.2,15.8,93.9,6.1,94.4,5.6,90.9,9.1,85.9,14.1,100
"Avon and Somerset","South West",2014-04-01,"Apr","2014","Q2_2014",100,0,78.8,21.2,81.8,18.2,94.9,5.1,75,25,92.7,7.3,100,0,90,10,98.5,1.5,86.1,13.9,80.5,19.5,83.6,16.4,100
"Bedfordshire","Thames and Chiltern",2014-04-01,"Apr","2014","Q2_2014",0,0,75,25,83.3,16.7,94.1,5.9,100,0,91.6,8.4,80,20,76.9,23.1,95.7,4.3,82.9,17.1,64.7,35.3,88.9,11.1,100
"Cambridgeshire","East of England",2014-04-01,"Apr","2014","Q2_2014",0,0,81.1,18.9,66.7,33.3,100,0,85.7,14.3,91.5,8.5,100,0,95.5,4.5,95.2,4.8,83.3,16.7,75,25,92.9,7.1,100
"Cheshire","Mersey-Cheshire",2014-04-01,"Apr","2014","Q2_2014",50,50,74.9,25.1,85,15,89.7,10.3,100,0,98.1,1.9,88.9,11.1,79.5,20.5,88.2,11.8,92.5,7.5,89.3,10.7,94.6,5.4,100
"Cleveland","North East",2014-04-01,"Apr","2014","Q2_2014",0,0,67.5,32.5,73.3,26.7,71.4,28.6,71.4,28.6,88.8,11.2,75,25,80,20,90,10,73.3,26.7,84.8,15.2,87.9,12.1,100
"Cumbria","North West",2014-04-01,"Apr","2014","Q2_2014",0,0,80.2,19.8,88.9,11.1,92.3,7.7,100,0,94.7,5.3,100,0,94.9,5.1,95.5,4.5,95.2,4.8,98.5,1.5,90.5,9.5,100
"Derbyshire","East Midlands",2014-04-01,"Apr","2014","Q2_2014",0,0,72.6,27.4,57.1,42.9,91.2,8.8,72.7,27.3,93.1,6.9,55,45,85.1,14.9,89.3,10.7,92.6,7.4,75.4,24.6,95.2,4.8,100
"Devon and Cornwall","South West",2014-04-01,"Apr","2014","Q2_2014",100,0,75.8,24.2,73.3,26.7,94.1,5.9,100,0,93.8,6.2,100,0,90.3,9.7,92.1,7.9,76.5,23.5,82.1,17.9,91.7,8.3,100
"Dorset","Oxfordshire",2014-04-01,"Apr","2014","Q2_2014",0,0,82,18,100,0,94.7,5.3,100,0,91.8,8.2,77.8,22.2,85.7,14.3,93.5,6.5,93.8,6.3,96.2,3.8,91,9,100
"Durham","North East",2014-04-01,"Apr","2014","Q2_2014",100,0,74.3,25.7,73.3,26.7,100,0,0,100,88.3,11.7,44.4,55.6,86,14,90.5,9.5,81.7,18.3,80,20,95.7,4.3,0
"Dyfed Powys","Cymru/Wales",2014-04-01,"Apr","2014","Q2_2014",0,0,70.8,29.2,0,100,85,15,100,0,91.8,8.2,66.7,33.3,87.1,12.9,93.8,6.2,71.8,28.2,100,0,92.2,7.8,100
"Essex","East of England",2014-04-01,"Apr","2014","Q2_2014",100,0,79.3,20.7,74.1,25.9,76.5,23.5,75,25,96.6,3.4,80,20,80.8,19.2,99,1,96.3,3.7,82.5,17.5,89.3,10.7,100
"Gloucestershire","South West",2014-04-01,"Apr","2014","Q2_2014",0,0,75.9,24.1,80,20,100,0,0,100,89.5,10.5,81.8,18.2,93.3,6.7,88,12,87.5,12.5,76,24,94.1,5.9,100
"GreaterManchester","North West",2014-04-01,"Apr","2014","Q2_2014",100,0,82.1,17.9,73.3,26.7,85.3,14.7,78.4,21.6,96,4,87.9,12.1,90.1,9.9,94.1,5.9,92.6,7.4,91,9,87,13,100
"Gwent","Cymru/Wales",2014-04-01,"Apr","2014","Q2_2014",0,0,74.8,25.2,50,50,80,20,100,0,94.7,5.3,100,0,71.4,28.6,94.8,5.2,81.7,18.3,80,20,76.7,23.3,100
"Hampshire","Oxfordshire",2014-04-01,"Apr","2014","Q2_2014",100,0,74.2,25.8,64.3,35.7,82.6,17.4,61.5,38.5,92.4,7.6,76,24,86.8,13.2,91.2,8.8,84.1,15.9,83.2,16.8,90.4,9.6,100
"Hertfordshire","Thames and Chiltern",2014-04-01,"Apr","2014","Q2_2014",100,0,77.2,22.8,83.3,16.7,87.9,12.1,100,0,89.4,10.6,82.1,17.9,94,6,93.4,6.6,91.2,8.8,85.7,14.3,86.8,13.2,100
"Humberside","Yorkshire and Humberside",2014-04-01,"Apr","2014","Q2_2014",0,0,88.3,11.7,60,40,85.4,14.6,100,0,94.2,5.8,93.3,6.7,93.6,6.4,94.8,5.2,88.9,11.1,81.5,18.5,83.2,16.8,100
"Kent","South East",2014-04-01,"Apr","2014","Q2_2014",64.3,35.7,76.1,23.9,60.7,39.3,97.8,2.2,75,25,90.2,9.8,78.6,21.4,74.7,25.3,96.5,3.5,72,28,81.7,18.3,91.1,8.9,100
"Lancashire","North West",2014-04-01,"Apr","2014","Q2_2014",100,0,70.3,29.7,69.8,30.2,85.1,14.9,81.8,18.2,94.8,5.2,82.6,17.4,83.8,16.2,92.7,7.3,90.7,9.3,89.7,10.3,84.5,15.5,100
"Leicestershire","East Midlands",2014-04-01,"Apr","2014","Q2_2014",80,20,78.7,21.3,54.5,45.5,81.3,18.8,50,50,94.3,5.7,90.9,9.1,84.4,15.6,97.3,2.7,85.5,14.5,77.3,22.7,92.8,7.2,100
"Lincolnshire","East Midlands",2014-04-01,"Apr","2014","Q2_2014",0,0,83.2,16.8,90.9,9.1,90.9,9.1,100,0,92.6,7.4,83.3,16.7,100,0,92.9,7.1,84.6,15.4,82.1,17.9,89.9,10.1,100
"Merseyside","Mersey-Cheshire",2014-04-01,"Apr","2014","Q2_2014",100,0,79.2,20.8,89.5,10.5,82.5,17.5,61.5,38.5,92.3,7.7,92.3,7.7,86.2,13.8,96.9,3.1,75.9,24.1,88.3,11.7,89.5,10.5,100
"Metropolitan and City","Greater London",2014-04-01,"Apr","2014","Q2_2014",91.3,8.7,67.4,32.6,65.7,34.3,84.2,15.8,85.6,14.4,91,9,87.7,12.3,82.9,17.1,93.9,6.1,81.5,18.5,86.4,13.6,77.6,22.4,100
"Norfolk","East of England",2014-04-01,"Apr","2014","Q2_2014",100,0,79.3,20.7,80,20,85.7,14.3,100,0,91.3,8.8,91.7,8.3,91.2,8.8,96.2,3.8,86.6,13.4,90.7,9.3,87.7,12.3,100
"Northamptonshire","East Midlands",2014-04-01,"Apr","2014","Q2_2014",100,0,65.7,34.3,68.4,31.6,92,8,91.7,8.3,86,14,87.5,12.5,91.3,8.7,93.9,6.1,83,17,78.6,21.4,89,11,100
"Northumbria","North East",2014-04-01,"Apr","2014","Q2_2014",100,0,68.4,31.6,47.6,52.4,87.1,12.9,88.2,11.8,84.9,15.1,88.2,11.8,81.1,18.9,83.8,16.2,76.2,23.8,77,23,86.8,13.2,100
"North Wales","Cymru/Wales",2014-04-01,"Apr","2014","Q2_2014",100,0,76.3,23.7,53.8,46.2,95.5,4.5,100,0,93.2,6.8,90,10,86.5,13.5,95.2,4.8,95.6,4.4,87.2,12.8,88.8,11.2,100
"North Yorkshire","Yorkshire and Humberside",2014-04-01,"Apr","2014","Q2_2014",50,50,86.8,13.2,100,0,75,25,85.7,14.3,90.7,9.3,85.7,14.3,67.9,32.1,95,5,87.5,12.5,55,45,90.7,9.3,100
"Nottinghamshire","East Midlands",2014-04-01,"Apr","2014","Q2_2014",100,0,71.9,28.1,80,20,100,0,57.9,42.1,96,4,100,0,86.5,13.5,96.2,3.8,82.1,17.9,78.5,21.5,92.8,7.2,100
"South Wales","Cymru/Wales",2014-04-01,"Apr","2014","Q2_2014",0,0,72.5,27.5,65,35,94.8,5.2,100,0,94.4,5.6,90,10,97,3,100,0,93.2,6.8,87,13,81.2,18.8,100
"South Yorkshire","Yorkshire and Humberside",2014-04-01,"Apr","2014","Q2_2014",100,0,80.4,19.6,90,10,95.7,4.3,64.3,35.7,95.9,4.1,81.8,18.2,91.5,8.5,95,5,84.8,15.2,85.4,14.6,89.5,10.5,100
"Staffordshire","West Midlands",2014-04-01,"Apr","2014","Q2_2014",0,0,69.4,30.6,88.2,11.8,95.2,4.8,80,20,85.6,14.4,91.7,8.3,74.3,25.7,93,7,81.7,18.3,90,10,83.1,16.9,100
"Suffolk","East of England",2014-04-01,"Apr","2014","Q2_2014",100,0,87.3,12.7,100,0,73.7,26.3,80,20,95.7,4.3,83.3,16.7,90.3,9.7,97.6,2.4,91,9,86,14,88.3,11.7,100
"Surrey","South East",2014-04-01,"Apr","2014","Q2_2014",0,0,75.6,24.4,61.1,38.9,62.5,37.5,88.9,11.1,88.8,11.2,94.4,5.6,82.1,17.9,96.5,3.5,83,17,71.2,28.8,87.6,12.4,100
"Sussex","South East",2014-04-01,"Apr","2014","Q2_2014",0,0,80.3,19.7,65.2,34.8,87.5,12.5,100,0,91.8,8.2,73.7,26.3,85.7,14.3,95.2,4.8,84.7,15.3,72.5,27.5,89.4,10.6,100
"Thames Valley","Thames and Chiltern",2014-04-01,"Apr","2014","Q2_2014",100,0,65.2,34.8,72.2,27.8,87,13,62.5,37.5,92.5,7.5,83.3,16.7,82.3,17.7,93.1,6.9,84,16,76.2,23.8,89.7,10.3,100
"Warwickshire","West Midlands",2014-04-01,"Apr","2014","Q2_2014",0,0,76.1,23.9,87.5,12.5,100,0,100,0,96.2,3.8,100,0,83.3,16.7,94.7,5.3,78.9,21.1,91.4,8.6,90.6,9.4,0
"West Mercia","West Midlands",2014-04-01,"Apr","2014","Q2_2014",50,50,78.8,21.2,85.7,14.3,82.4,17.6,83.3,16.7,93.4,6.6,100,0,92.2,7.8,98.2,1.8,86.8,13.2,89.1,10.9,88.8,11.2,100
"West Midlands","West Midlands",2014-04-01,"Apr","2014","Q2_2014",66.7,33.3,64.9,35.1,75.7,24.3,82.6,17.4,77.5,22.5,92.2,7.8,97.2,2.8,83.2,16.8,92.6,7.4,77.9,22.1,79.6,20.4,86.1,13.9,100
"West Yorkshire","Yorkshire and Humberside",2014-04-01,"Apr","2014","Q2_2014",100,0,76.6,23.4,83.3,16.7,80.4,19.6,93.8,6.3,93.7,6.3,88,12,81.9,18.1,95.6,4.4,80,20,83.9,16.1,85.1,14.9,100
"Wiltshire","Oxfordshire",2014-04-01,"Apr","2014","Q2_2014",100,0,75.5,24.5,69.2,30.8,100,0,100,0,92.8,7.2,80,20,83.9,16.1,100,0,81.5,18.5,86.7,13.3,85.9,14.1,100
"Avon and Somerset","South West",2014-05-01,"May","2014","Q2_2014",100,0,79.2,20.8,63,37,86.4,13.6,100,0,93.8,6.2,96,4,81.8,18.2,95.9,4.1,82.3,17.7,85,15,71.2,28.8,100
"Bedfordshire","Thames and Chiltern",2014-05-01,"May","2014","Q2_2014",100,0,67.6,32.4,80,20,71.4,28.6,85.7,14.3,84.5,15.5,88.9,11.1,76.2,23.8,89.3,10.7,79.4,20.6,72.2,27.8,85.1,14.9,100
"Cambridgeshire","East of England",2014-05-01,"May","2014","Q2_2014",0,0,75.3,24.7,83.3,16.7,94.1,5.9,100,0,93.8,6.2,76.9,23.1,86.2,13.8,97.5,2.5,81.3,18.8,100,0,88.1,11.9,100
"Cheshire","Mersey-Cheshire",2014-05-01,"May","2014","Q2_2014",100,0,83.9,16.1,90.9,9.1,94.4,5.6,0,100,95.1,4.9,81.8,18.2,90.9,9.1,91.3,8.8,93.8,6.3,93.8,6.2,90.6,9.4,100
"Cleveland","North East",2014-05-01,"May","2014","Q2_2014",100,0,69.2,30.8,70,30,84.6,15.4,100,0,87.3,12.7,72.7,27.3,80.7,19.3,89.3,10.7,78.1,21.9,70.6,29.4,80.8,19.2,100
"Cumbria","North West",2014-05-01,"May","2014","Q2_2014",0,0,79.8,20.2,88.9,11.1,100,0,0,0,93.5,6.5,66.7,33.3,91.4,8.6,100,0,96.2,3.8,96.2,3.8,87.7,12.3,100
"Derbyshire","East Midlands",2014-05-01,"May","2014","Q2_2014",0,0,76.3,23.7,76.5,23.5,95.7,4.3,63.2,36.8,87.9,12.1,91.7,8.3,97.7,2.3,91.4,8.6,88.2,11.8,74,26,88,12,100
"Devon and Cornwall","South West",2014-05-01,"May","2014","Q2_2014",100,0,76,24,73.3,26.7,93.3,6.7,100,0,89.5,10.5,81.8,18.2,89.1,10.9,96.4,3.6,84.9,15.1,88.5,11.5,91.5,8.5,100
"Dorset","Oxfordshire",2014-05-01,"May","2014","Q2_2014",0,0,81.9,18.1,61.1,38.9,62.5,37.5,0,0,93.4,6.6,100,0,85.7,14.3,95.3,4.7,94.6,5.4,67.9,32.1,83,17,100
"Durham","North East",2014-05-01,"May","2014","Q2_2014",0,0,79.5,20.5,61.5,38.5,74.1,25.9,100,0,87.2,12.8,85.7,14.3,93.2,6.8,91.7,8.3,89.1,10.9,90,10,84.2,15.8,100
"Dyfed Powys","Cymru/Wales",2014-05-01,"May","2014","Q2_2014",0,0,86.9,13.1,66.7,33.3,100,0,100,0,92.3,7.7,100,0,79.3,20.7,98.8,1.2,89.1,10.9,90,10,93.2,6.8,100
"Essex","East of England",2014-05-01,"May","2014","Q2_2014",100,0,78.5,21.5,69.6,30.4,88.9,11.1,91.7,8.3,95.1,4.9,85,15,91,9,98.9,1.1,84.5,15.5,93.1,6.9,89.9,10.1,100
"Gloucestershire","South West",2014-05-01,"May","2014","Q2_2014",0,0,82,18,100,0,92.9,7.1,100,0,95,5,100,0,92.3,7.7,100,0,88.9,11.1,63.6,36.4,87.2,12.8,100
"GreaterManchester","North West",2014-05-01,"May","2014","Q2_2014",0,0,76.6,23.4,67.2,32.8,84,16,88.9,11.1,94.1,5.9,95.7,4.3,90,10,93.4,6.6,90.1,9.9,85.1,14.9,84.7,15.3,100
"Gwent","Cymru/Wales",2014-05-01,"May","2014","Q2_2014",0,0,71.3,28.7,71.4,28.6,87.5,12.5,100,0,90.6,9.4,100,0,93.3,6.7,93.2,6.8,84.7,15.3,72.5,27.5,91.1,8.9,100
"Hampshire","Oxfordshire",2014-05-01,"May","2014","Q2_2014",0,0,74.5,25.5,63.3,36.7,89.3,10.7,66.7,33.3,90.2,9.8,90.9,9.1,81.6,18.4,93,7,85.7,14.3,79.8,20.2,79.3,20.7,100
"Hertfordshire","Thames and Chiltern",2014-05-01,"May","2014","Q2_2014",100,0,75.6,24.4,76.9,23.1,87.5,12.5,61.5,38.5,88.4,11.6,94.4,5.6,93.5,6.5,89.8,10.2,76.5,23.5,67.7,32.3,83.3,16.7,100
"Humberside","Yorkshire and Humberside",2014-05-01,"May","2014","Q2_2014",0,0,83.9,16.1,64.3,35.7,90.6,9.4,55.6,44.4,92.7,7.3,76.9,23.1,89.6,10.4,98.6,1.4,97.3,2.7,85.7,14.3,90.9,9.1,100
"Kent","South East",2014-05-01,"May","2014","Q2_2014",93.3,6.7,80.5,19.5,80,20,91.2,8.8,100,0,90.3,9.7,83.3,16.7,85,15,88.9,11.1,91.8,8.2,85.4,14.6,88.6,11.4,100
"Lancashire","North West",2014-05-01,"May","2014","Q2_2014",100,0,76.9,23.1,75.8,24.2,87.5,12.5,72.7,27.3,91.2,8.8,100,0,85,15,94.3,5.7,92.8,7.2,93.8,6.2,83.6,16.4,100
"Leicestershire","East Midlands",2014-05-01,"May","2014","Q2_2014",0,0,81.5,18.5,77.8,22.2,93.3,6.7,50,50,94.5,5.5,80,20,83.3,16.7,90.2,9.8,89.7,10.3,66.7,33.3,87.2,12.8,100
"Lincolnshire","East Midlands",2014-05-01,"May","2014","Q2_2014",0,0,76.9,23.1,63.6,36.4,100,0,0,0,93,7,100,0,91.7,8.3,89.5,10.5,78.3,21.7,92,8,79.1,20.9,100
"Merseyside","Mersey-Cheshire",2014-05-01,"May","2014","Q2_2014",100,0,78,22,80.8,19.2,90,10,69.7,30.3,91.3,8.7,87.5,12.5,91.5,8.5,98.1,1.9,81.6,18.4,87.2,12.8,87.8,12.2,100
"Metropolitan and City","Greater London",2014-05-01,"May","2014","Q2_2014",72.5,27.5,69.3,30.7,67.2,32.8,76,24,83.6,16.4,89.7,10.3,87.8,12.2,84.3,15.7,95.1,4.9,80.8,19.2,83.7,16.3,79.3,20.7,100
"Norfolk","East of England",2014-05-01,"May","2014","Q2_2014",0,0,77.8,22.2,88.2,11.8,85.7,14.3,100,0,91.7,8.3,75,25,92.7,7.3,97.1,2.9,86.6,13.4,88.5,11.5,86.7,13.3,100
"Northamptonshire","East Midlands",2014-05-01,"May","2014","Q2_2014",0,0,68.7,31.3,63.6,36.4,88.9,11.1,100,0,83.3,16.7,72.7,27.3,67.9,32.1,86.4,13.6,93.2,6.8,72.2,27.8,91.7,8.3,100
"Northumbria","North East",2014-05-01,"May","2014","Q2_2014",0,0,66.8,33.2,50,50,93.2,6.8,84.6,15.4,85.6,14.4,81.8,18.2,74.1,25.9,83,17,77.3,22.7,80.1,19.9,79.9,20.1,100
"North Wales","Cymru/Wales",2014-05-01,"May","2014","Q2_2014",0,0,87.7,12.3,71.4,28.6,78.3,21.7,100,0,94.6,5.4,87.5,12.5,97.2,2.8,95.1,4.9,86,14,97.6,2.4,94.9,5.1,100
"North Yorkshire","Yorkshire and Humberside",2014-05-01,"May","2014","Q2_2014",100,0,90.2,9.8,80,20,90.9,9.1,75,25,93.6,6.4,100,0,89.4,10.6,87,13,87.9,12.1,75,25,93.2,6.8,100
"Nottinghamshire","East Midlands",2014-05-01,"May","2014","Q2_2014",54.5,45.5,74.8,25.2,47.1,52.9,87,13,75,25,92.9,7.1,80,20,84.2,15.8,94.7,5.3,74.2,25.8,86.8,13.2,89.9,10.1,100
"South Wales","Cymru/Wales",2014-05-01,"May","2014","Q2_2014",100,0,75.5,24.5,75.9,24.1,87.7,12.3,61.9,38.1,96,4,94.7,5.3,87.1,12.9,96.4,3.6,92.2,7.8,86.8,13.2,89.5,10.5,100
"South Yorkshire","Yorkshire and Humberside",2014-05-01,"May","2014","Q2_2014",0,0,79.3,20.7,60,40,89.2,10.8,60,40,92.9,7.1,72.7,27.3,95.1,4.9,97.9,2.1,93.3,6.7,88.6,11.4,91.3,8.7,100
"Staffordshire","West Midlands",2014-05-01,"May","2014","Q2_2014",100,0,71.4,28.6,69.2,30.8,88.9,11.1,46.2,53.8,89.2,10.8,69.2,30.8,82.1,17.9,94.2,5.8,78.6,21.4,86,14,79.3,20.7,100
"Suffolk","East of England",2014-05-01,"May","2014","Q2_2014",0,0,79.7,20.3,90.9,9.1,100,0,60,40,95.7,4.3,66.7,33.3,100,0,95.5,4.5,97.1,2.9,78.9,21.1,87.8,12.2,100
"Surrey","South East",2014-05-01,"May","2014","Q2_2014",0,0,73,27,52.6,47.4,82.4,17.6,100,0,87.9,12.1,89.5,10.5,83.8,16.2,94.7,5.3,89.4,10.6,77.5,22.5,85.3,14.7,100
"Sussex","South East",2014-05-01,"May","2014","Q2_2014",100,0,70.1,29.9,66.7,33.3,75.8,24.2,70,30,87.6,12.4,100,0,80.7,19.3,89.2,10.8,79,21,79.8,20.2,87.4,12.6,100
"Thames Valley","Thames and Chiltern",2014-05-01,"May","2014","Q2_2014",100,0,68.1,31.9,76.5,23.5,77.4,22.6,83.3,16.7,87,13,75.9,24.1,80.8,19.2,83.6,16.4,81.6,18.4,79.3,20.7,86.6,13.4,100
"Warwickshire","West Midlands",2014-05-01,"May","2014","Q2_2014",0,0,83.3,16.7,60,40,81.8,18.2,50,50,96.7,3.3,0,100,95.8,4.2,94.1,5.9,73.1,26.9,73.9,26.1,92.5,7.5,100
"West Mercia","West Midlands",2014-05-01,"May","2014","Q2_2014",100,0,81.9,18.1,86.4,13.6,80.4,19.6,33.3,66.7,94.6,5.4,55.6,44.4,86,14,91,9,86.9,13.1,83.9,16.1,85.8,14.2,100
"West Midlands","West Midlands",2014-05-01,"May","2014","Q2_2014",100,0,71.3,28.7,65.9,34.1,87.4,12.6,63.8,36.2,91.1,8.9,75,25,81.7,18.3,90.6,9.4,79.9,20.1,75.9,24.1,87.2,12.8,100
"West Yorkshire","Yorkshire and Humberside",2014-05-01,"May","2014","Q2_2014",100,0,80.3,19.7,76.5,23.5,87.9,12.1,63,37,91.2,8.8,95,5,74.8,25.2,92.6,7.4,82.8,17.2,93.8,6.2,86.9,13.1,100
"Wiltshire","Oxfordshire",2014-05-01,"May","2014","Q2_2014",0,0,82.4,17.6,62.5,37.5,75,25,45.5,54.5,87.7,12.3,81.8,18.2,81.8,18.2,94.9,5.1,83.3,16.7,70.4,29.6,95.1,4.9,100
"Avon and Somerset","South West",2014-06-01,"Jun","2014","Q2_2014",42.9,57.1,76.7,23.3,69.4,30.6,82.9,17.1,66.7,33.3,93.8,6.2,89.5,10.5,82.7,17.3,93.3,6.7,87.3,12.7,88.8,11.3,82.2,17.8,100
"Bedfordshire","Thames and Chiltern",2014-06-01,"Jun","2014","Q2_2014",100,0,72.2,27.8,16.7,83.3,100,0,83.3,16.7,91.5,8.5,87.5,12.5,78.9,21.1,93.6,6.4,90.3,9.7,90,10,87.8,12.2,100
"Cambridgeshire","East of England",2014-06-01,"Jun","2014","Q2_2014",0,0,80.4,19.6,83.3,16.7,91.7,8.3,100,0,96.4,3.6,94.7,5.3,90.5,9.5,100,0,96.5,3.5,81.3,18.8,92,8,100
"Cheshire","Mersey-Cheshire",2014-06-01,"Jun","2014","Q2_2014",100,0,78.5,21.5,93.8,6.3,83.3,16.7,85.7,14.3,96.1,3.9,90,10,88.9,11.1,90.1,9.9,94.7,5.3,93.4,6.6,92.4,7.6,100
"Cleveland","North East",2014-06-01,"Jun","2014","Q2_2014",100,0,75,25,82.6,17.4,88.6,11.4,66.7,33.3,89.7,10.3,100,0,89.1,10.9,98.3,1.7,73.9,26.1,67.7,32.3,94.6,5.4,100
"Cumbria","North West",2014-06-01,"Jun","2014","Q2_2014",100,0,88.2,11.8,100,0,100,0,75,25,92.6,7.4,100,0,90.5,9.5,95.8,4.2,91.4,8.6,94.3,5.7,92.4,7.6,100
"Derbyshire","East Midlands",2014-06-01,"Jun","2014","Q2_2014",0,0,71.3,28.7,84.6,15.4,81.3,18.8,88.9,11.1,90.5,9.5,100,0,87,13,87.8,12.2,83.7,16.3,75.5,24.5,89.6,10.4,100
"Devon and Cornwall","South West",2014-06-01,"Jun","2014","Q2_2014",100,0,70.3,29.7,92.3,7.7,78.8,21.2,66.7,33.3,90.6,9.4,84.2,15.8,77.6,22.4,96.7,3.3,87.1,12.9,79.4,20.6,86,14,100
"Dorset","Oxfordshire",2014-06-01,"Jun","2014","Q2_2014",0,0,86.7,13.3,78.6,21.4,93.3,6.7,100,0,96.2,3.8,100,0,88.2,11.8,96,4,89.5,10.5,92,8,91.7,8.3,100
"Durham","North East",2014-06-01,"Jun","2014","Q2_2014",0,0,77.8,22.2,82.4,17.6,85,15,100,0,91.6,8.4,50,50,87.5,12.5,93.5,6.5,88.6,11.4,81.5,18.5,92,8,100
"Dyfed Powys","Cymru/Wales",2014-06-01,"Jun","2014","Q2_2014",0,0,80.5,19.5,100,0,100,0,50,50,93,7,0,100,77.8,22.2,95.5,4.5,77.3,22.7,76.9,23.1,92.2,7.8,100
"Essex","East of England",2014-06-01,"Jun","2014","Q2_2014",0,0,79.8,20.2,68.3,31.7,93.9,6.1,80,20,93.8,6.2,94.4,5.6,85.2,14.8,94.8,5.2,87.9,12.1,82.5,17.5,88.1,11.9,100
"Gloucestershire","South West",2014-06-01,"Jun","2014","Q2_2014",0,0,76.5,23.5,100,0,75,25,100,0,90.4,9.6,100,0,88.2,11.8,94.7,5.3,77.8,22.2,77.3,22.7,96.7,3.3,100
"GreaterManchester","North West",2014-06-01,"Jun","2014","Q2_2014",100,0,77.2,22.8,59.8,40.2,91.6,8.4,94.6,5.4,93.4,6.6,86.3,13.7,88.2,11.8,91.5,8.5,87.8,12.2,74.4,25.6,85.4,14.6,100
"Gwent","Cymru/Wales",2014-06-01,"Jun","2014","Q2_2014",75,25,76.5,23.5,71.4,28.6,68,32,0,100,94.9,5.1,66.7,33.3,79.4,20.6,98.1,1.9,90.2,9.8,68,32,91.7,8.3,100
"Hampshire","Oxfordshire",2014-06-01,"Jun","2014","Q2_2014",0,0,73.8,26.2,57.5,42.5,88.9,11.1,85.7,14.3,92.5,7.5,84.2,15.8,78.7,21.3,87.2,12.8,88.7,11.3,82.9,17.1,83.7,16.3,100
